review_title,review_body,rating,review_date
Watch this instead of Immaculate,"How can a prequel of a classic directed by a first timer (at least when it comes to feature films) be this good???

The First Omen is a must watch for it's cinematography alone. Adding Nell Tiger Free as the incredible lead, eery body horror, spectacular sets and costumes and the feeling of 70s cinema.

It might be a tid bit too long and the whole Dan Brown-esque scavenger hunt wasn't fully working, but damn is it fun and just beautiful to watch.

Arkasha Stevenson did the original Omen justice.

I have to compare it to Immaculate since it's basically the same story, but so much better! Go watch this instead, trust me.",8.0,4 April 2024
Huge surprise,"The First Omen is literally the Rogue One of horror movies. Late stage horror prequels are usually cheap cash grabs which is what makes this one such a pleasant surprise. It's clearly crafted with vision and artistry as it operates within an established franchise whilst being so much nastier than mainstream horror usually gets to be.

Nell Tiger Free is phenomenal, as the film progresses it demands more and she is always able to provide it. A late stage sequence has her going to a very visceral place and it leaves you speechless. Ralph Ineson gives Father Brennan a lot more humanity than he originally had and is great at establishing the stakes.

Arkasha Stevenson makes such a confident debut, skillfully choosing to harken back to the original not just with callbacks and musical cues but by imbuing this film with the same rich texture and slow burning pace of 70s cinema. She also crafts an atmosphere so potent that the few jump scares really land and the horrific imagery won't be forgotten anytime soon.",8.0,11 April 2024
No Jumpscares no Problem,"Finally a horror movie that doesn't rely on jumpscares every 10 seconds.

The story is of Margret who goes to an orphanage run by nuns in Italy in the 70s. She is on the road to getting her veil when we discover she was also brought up in one of those homes and was plagued by visions which she was thought that they were her imagination. When a girl starts having similar experiences she grows close to her trying to uncover the route of them. As people are losing faith in God around the world the church pose a plot to gain back their faith, going to extreme lengths, sinister lengths.

The movie is solid, it focuses on telling a story in the horror genre with about 3 jumpscares and a major lean on visual horror scenes.

The acting is good, there also seems to be a good sense of dread in the entire movie as the characters are on edge the whole time. The settings are good and the music is good. The story is a little predictable as I caught on quite quick the ""twist""

Overall an enjoyable time and I hope more of these come out as I like them not filled with Jumpscares as that gets so boring, 7.5/10.",7.0,10 April 2024
Unsettling but flawed,"Unsettling is the perfect word to describe The First Omen. This prequel to the 1971 classic maintains the atmosphere and dread of the original while adding a few of its own twists and turns to the lore for better or worse.

Exploring the dark forces behind Damien's birth is one of the best parts of the First Omen. The tension that builds up to the final act is equally as compelling. Thankfully there were only a few cheap jump scares with the film opting for more disturbing imagery. There were many scenes where you knew something was going to happen but all you could do was either watch it play out or turn away. If you do decide to stick with it you will find the graphic moments satisfyingly disturbing. The First Omen does not disappoint when it comes to fully utilizing its R-rating.

One of the worst aspects of the film is the narrative. Hauntings kind of just happen for no particular reasons and some of the changes to the lore in The Omen don't quite jive not just with the original but within the context of The First Omen itself. All of the actors did an amazing job in their respective roles but a majority of the supporting characters needed more development. Nell Tiger Free's Margaret stood out as the leading protagonist while her friend and ally priest left me wanting to know more about them.

For me, the pros outweigh the cons but the lacking story is worth considering if you are on the fence about seeing The First Omen in theaters.",6.0,14 April 2024
The First Omen: A Slow-Burn Horror with Eerie Charm,"I found ""The First Omen"" a decent horror flick. It's definitely a slow burn, so be prepared for building suspense rather than constant jump scares. The chilling atmosphere, unsettling moments, and creepy background score really worked for me.

While the pace might be too slow for some, I appreciated the way the film gradually builds tension. It has genuine scares, fueled more by atmosphere than cheap tricks. If you enjoy a classic, atmospheric horror experience, you might like this one.

Don't go in expecting a fast-paced thrill ride. Instead, be prepared for a film that aims to unnerve you. It won't blow you away with originality, but for fans of old-school horror, ""The First Omen"" offers some solid chills.",7.0,13 April 2024
"A Gruesomely Entertaining Horror Flick That Resurrects ""The Omen"" Franchise",,6.0,5 April 2024
ONE OF THE BEST HORROR PREQUELS.,"Easily one of the best horror prequels. The original Omen is an all time classic, and this is a great follow up. The film revels in mashing up genres: body horror and gothic church horror. Well paced with a good cinematic moment.

Synopsis: When a young American woman is sent to Rome to begin a life of service to the church, she encounters a darkness that causes her to question her own faith and uncovers a terrifying conspiracy that hopes to bring about the birth of evil incarnate.

When a young American woman is sent to Rome to begin a life of service to the church, she encounters a darkness that causes her to question her own faith and uncovers a terrifying conspiracy that hopes to bring about the birth of evil incarnate.",7.0,4 April 2024
Finally a worthy prequel!,"Kudos to the filmmakers for having the guts to do a straight up prequel to such a classic horror film. Rather than another re-boot, the events in The First Omen take place directly before the classic film.

The film is delightfully creepy and weird, including a sequence that legitimately gave me goosebumps. Fantastic cinematography and atmosphere actually makes the film feel like it could've come out in 1971.

Not only does it give context to the original but also answered some lingering questions I had after watching the original. A prequel that is not only worthy, but actually feels necessary.",8.0,6 April 2024
Nice film but I was expecting more,,6.0,10 April 2024
Disappointing,"""The First Omen"" came out of nowhere really. It also feels like its going somewhere by the end. But unfortunately most of it is dull build up to that interesting finale.

Now i love the original Omen. It wasn't a hardcore horror or anything but was still a classic with that creepy kid and tremendous music. But this one has more or less the same ""scares"" but less.

The problem is that a modern audience expects more from horror and (outside of one scene) this film just isn't scary. Infact you'll find yourself either rolling your eyes or laughing at the bits that are supposed to be. Basically you don't even have to have seen the original to have seen all this before. Everything is very familiar and alot of the movie is very predictable.

Nell Tiger Free However is great in the movie, and if you're patient enough that last 20 minutes or so is half decent.",4.0,26 April 2024
The Antichrist Arrives!,"The First Omen: Though similar in plot to Immaculate at a superficial level, this film sticks to the supernatural in the attempts to create the Antichrist. In the prologue an aged Father Harris (Charles Dance) is tracked down by Father Brennan (Ralph Ineson), Harris relates a garbled tale about a baby created through a woman mating with the Devil. The progeny is destined to be the mother of the Antichrist. Shortly afterwards Father Harris is showered by stained glass and a piece of scaffolding takes a chunk out of his head, obviously just happenstance. Rome, 1971, Margaret (Nell Tiger Free) arrives from the US to take her vows at a school/orphanage, herself an orphan, she was raised by the Roman Catholic Church. She is met by Cardinal Lawrence (Bill Nighy) who a decade before had counselled her when she was having troubles. They travel to the Convent to the background of Trade Union and Student protests; the Cardinal reflects on how the RCC is also losing the support of young people. These disturbances continue in the background over the radio until Margaret is caught up in a riot during a pivotal scene,

The Convent seems to be a happy place, the children are treated well, they have parties, nuns bounce on trampolines, even the elder sisters smoke and crack jokes. However Margaret finds that one child Carlita (Nicole Sorace) is often kept in a room, tied to a bed even. Carlita acts up, is violent, draws strange pictures, Margaret realises that Carlita is acting like she did years ago, so she bonds with her. Similar to Immaculate there is a naughty novitiate, Luz (Maria Caballero) she browbeats Carlita into going dancing and drinking, after all one must live before leaving secular life. Things take an odd turn at the orphanage, Carlita has terrifying visions, a strange young nun, Angelica connects with both Margarey and Carlita. Father Brennan reappears and tries to convince Margaret that a conspiracy is at play to create the Antichrist. The plot now takes an interesting turn which it would be a spoiler to reveal.

The First Omen is a largely satisfying film in its own right and promises to take the franchise off at an angle to the previous films. There are scenes of graphic horror, not least in the birth scenes where elements of body horror are introduced along with Margaret's visions of the risen dead. Some good jump scares but the pacing of the film takes away from the effect of a couple of these. A tightening up of the convent scenes with additional exposition of Margaret's backstory might have improved the flow of the narrative. Nell Tiger Free's part demands a lot and she is equal to it as her character develops. Maria Caballero is wonderful in her nunsploitation role in the nightclub scenes and in her dress sense, this sequence and her later taking of vows introduces a touch of Dario Argento. Nicole Sorace gives a fine performance as the disturbed and conflicted young girl.. Bill Nighy gives further support as the enigmatic and pragmatic Cardinal. Of course The First Omen introduces a few characters who featured in the 1976 film The Omen and even pays homage to several of its gory death scenes (improving on at least one of those). Directed by Arkasha Stevenson, who co-wrote the screenplay with Tim Smith and Keith Thomas from a story by Ben Jacoby. 8/10.",8.0,4 April 2024
"Cliche, Not scary","I like the genre and its origin, let there be no doubt. Sadly the sequel didn't scared me, yet it couldn't be gore and violent enough. Predictable plot as well which never truly disturbed unlike its prequel. Despite the promising title I was obviously too excited about, it could've been much more interesting than just chopped limbs and screaming nuns, almost disrespecting the 1976 classic. As for ancient Rome's sightseeing, it wasn't too bad to watch...

Typically, some of it reminded me of a similar plot inspired from classics like ""Rosemary's Baby"" (take note of the baby's claws). The actual first born could be just another ""Alien"" rip- off. Considering the 2006 prequel (Mia Farrow), The First Omen is actually confusing and could be just as well watched in reverse order. Ritual birth in a dungeon, the usual candle fire and crucifix, victim stripped to a gurney surrounded by complicit nuns is so cliche. Even the notorious birthmark was too predictable. Just copy paste it into the next Omen, the one after, and it's done... appropriate 6/6 rating.",6.0,10 June 2024
Dull. Nothing like the original masterpieces.,"Im a huge fan of horrors, and love the original couple of Omen films. For me they are timeless classics. They build suspense, draw you in and you just feel the evil coming from the character. This was just so completely dull. Halfway through the film i find myself checking the runtime to see if we are nearly done yet. To be fair to the film the acting was pretty good and some of the effects used were very good. Perfomances from the mighty Bill Nighy for example are rarely going to be poor, but even his skill as an actor couldnt save the dullness of this movie. Im not quite sure if the reviewers offering 7 to 9 out of ten even saw the same movie? This should have been another classic but unforunately it just fell on its face quite flatly.",3.0,28 May 2024
Meh!,,6.0,7 April 2024
Nuns aplenty,"Following on the heels of the film ""Immaculate"" about nuns giving birth to the satanic in a Catholic cult, comes the First Omen about nuns giving birth to the satanic in a Catholic cult!

However the latter is a far better production that relies less on jump scares and more on slow burn horror. Warnings of ""viscera"" were overrated as it only graphically appeared once. There was instead a clever analysis of the natural horror of the ordeal of childbirth.

The treatment of the Catholic Church was also more balanced as it clarified that most Catholics were spiritual people, and not satanic cultists.

There was even a hidden message that sin, even one night out, was not good for nuns!

Anomalies existed. Why Satan didn't like fire for example was inconsistent with the entire history of Catholicism. Also the ending was very contrived to ensure a sequel could be resurrected if needed.

The setting was an orphanage for girls run by nuns so there was an interesting archetypal ambience about motherhood, which worked very well for the film. Every version of the feminine was on hand with a cunning foxy Cardinal Bill Nighy in the henhouse, so to speak.

It was this strange analysis of everything female, and I mean everything, that was exceptional.",7.0,4 April 2024
A more sophisticated and slow approach,"In order to prepare for this movie I watched the whole Omen franchise including the terrible fourth one. To be really quick, the original is a timeless classic with some unforgettable scenes, the sequel is also a solid movie, the third movie is quite different but still a decent watch, the fourth one is atrocious and the remake is passable but does nothing new.

At first I wasn't really excited to see this movie since it was only just another addition for a franchise that didn't need more movies. It seemed like a quick cash grab like most Hollywood movies nowadays. But after the first reviews came out, the movie had some pretty good ratings and most people seemed to enjoy it. That made me curious and I decided to give it a watch.

The movie is definitely a more sophisticated approach and takes its time for something to happen. You have beautiful cinematography and great acting with a lot of suspenseful dragged out scenes. There is also some disturbing imagery in this that I didn't expect to be so explicit. The movie has a good atmosphere and doesn't rely on cheap jump scares, but rather focuses on a dense atmosphere and genuinely scary moments. Overall it's a decent addition to the franchise but it felt really slow at times and I think that at least 20 minutes could have been cut from the final result. There are some unnecessary scenes that are really dragged out which harms the movies pacing. Also I think it's a little forgettable and doesn't have many standout scenes. But it was a decent watch anyway and there was definitely put more thought into this than most other movies that come out today, especially if they are part of a franchise and especially in horror. [6,2/10]",6.0,10 June 2024
"Very good but outside of ""The Omen"" franchise",,7.0,31 May 2024
Came out of nowhere!,"This movie came out of nowhere (at least for me).

It has really good acting, excellent soundtrack and awesome scenes/images. CGI could have been better but it really doesn't affect the movie.

I recently watched the trailer when I went to see Kong and Godzilla and thought it was really interesting and intriguing. I was hoping it wasnt going to be a 4.5 rating on IMDd and I'm glad to say this movie should no go below 6.0 raiting.

Now days when it comes to ""horror"" we are so used to movies like the nun 2, the conjuring 3, Insidious 5, movies that have no substance or story telling.

If you have the option to go to your movie theater and watch then Watch it! Jaja.",8.0,5 April 2024
"Not quite immaculate, but really solid NUNtheless","'The First Omen (2024)' is surprisingly good for a prequel to a horror classic. It's also remarkably similar to 'Immaculate (2024)', to the point that one would seem to have ripped off the other if it had been released significantly later (the tiny gap between the two films' release dates indicates a case of parallel thinking, rather than plagiarism). Its most valuable asset is its direction, which makes use of assured cinematography and measured pacing to deliver some really well-achieved sequences that are typically as unsettling as they are atmospheric. The picture is often dripping with dread, evoking this intangible sense that what you're seeing is actually evil. With an unrelentingly ominous soundtrack, some really confronting imagery and the overall texture - both aesthetic and narrative - of something straight out of the seventies, the film carves its own unholy mark on the genre and is often really compelling (even during its more obviously silly moments). Its pacing does wane slightly in its second act, and its central mystery - or, at least, where it's heading - is unfortunately really obvious if you've seen 'The Omen (1976)' (or even read the tagline). I guessed the movie's major twist within the first few moments, for instance, and being ahead of the narrative doesn't do the experience any favours considering its enigma is pretty much its main driving force. Even if you aren't able to see the reveal coming, the film's main problem still has a strong impact. The issue is that it has to tie in to the original, which severely diminishes the potential - and power - of its third act. The finale just feels incredibly boxed in, and it doesn't help that the flick isn't content to just strongly imply. Instead, it feels the need to spell out, with a rushed epilogue that ends on a namedrop that's intended to carry weight but actually just feels weird. It's not as if the rest of the movie is exactly subtle, but the climax feels like a total sledgehammer in the worst possible way (not in terms of its in-universe implications, but its meta ones). It's bending to the studio's idea of what it needs to be, rather than what it it's been naturally building towards. However, this obviously top-level interference isn't enough to significantly reduce the overall effectiveness of the affair. It's still a really accomplished in-the-moment experience, despite its legitimate narrative issues. The direction really is rock-solid, as are most of the performances, and there's a palpable sense of foreboding throughout. A lot of the set-pieces are rather unsettling, too. It's ultimately a strong effort that suffers most from being part of a wider franchise, yet is also far better than you may expect an entry in said franchise to be. If its third act was a little better, it could have been great. As it is, it's still really good.",7.0,8 April 2024
Waste of time,,1.0,28 May 2024
A modern horror that truly captures 1970's Horror,"GO SEE THIS MOVIE ! I went in to this film with very low expectations! I came out of this film being utterly blown away . As a director, Arkasha Stephenson has truly nailed making a prequel! She's nailed and captured the look , feel and terror of Horror movies from the 1970's ! She's appealed to both an older generation and a younger generation of movie goers. Used a big named 3 person cast to its fullest , and introduced a stunning, relatively unknown lead and supporting cast to its fullest. Beautifully shot, framed, paced and sympathetically made a movie that's on par with all the greats from this era and at the same time done justice to the original film in every way and told a story that links so perfectly in to the original film , I can't quite believe it . It's not often I leave the cinema gobsmacked , but today I did . Go watch this film , go support the movie and its director , go support horror movies and go tell your friends to see it . If you are one of those saying , it's not scary , it wasn't gory , or as I heard 2 teenagers leaving the cinema say "" I didn't know what to make of that , it wasn't as good as Megan , you need to go have a word with yourself as to why you watch horror , what horror you've seen and what a horror film is ! Because this was near perfection !",10.0,5 April 2024
This movie was had lots of great moments. And some other moments too...,"First off.. The movie was not horrible. It had its moments where my jaw was dropped. And mind you it is a 2-hour long movie. So those moments felt heavy

Nell Tiger Free was marvelous in many moments, however I feel as thought she sometimes missed the Q. But there were moments I could not take my eye off of her. In fact, please if they ever remake Possession (1981), cast her.

As much as I love these movies separately, they do not belong in the same movie(toward the end, it felt like I was more-so watching Possession rather then anything related to The Omen)

Ishtar Currie Wilson!!!!!! I NEED TO SEE YOU IN MORE HOROR IMMEDIATELY. YOU WERE CRAZY AND LOVED EVERY SECOND OF IT!!!! WHICH IS WHY I WANTED MORE OF ANGELICAS STORY!

I feel it would have worked better for a movie like a remake, of Possession. Sorry!

As I said it has its moments. Visual effects were outrageously delightful and that it itself is worth giving it a go. A little bit better script, shorter run time and support would have made it a solid Omen.",7.0,5 April 2024
It's Mother was a Jackal....,,1.0,6 April 2024
